"","i","difference_land"
"1","Algeria",223
"2","Angola",426
"3","Argentina",269.123456790123
"4","Belize",91.5
"5","Bolivia (Plurinational State of)",387.5
"6","Botswana",315
"7","Brazil",232.461538461538
"8","Bulgaria",282
"9","Burkina Faso",446
"10","C̫te d'Ivoire",239.8
"11","Cambodia",599.772727272727
"12","Cameroon",516.4
"13","Central African Republic",411
"14","Chile",282.384615384615
"15","China",438.75
"16","Colombia",249.027027027027
"17","Congo",500.666666666667
"18","Costa Rica",364.25
"19","Democratic Republic of the Congo",195.333333333333
"20","Ecuador",348
"21","Egypt",385.333333333333
"22","Ethiopia",326.384615384615
"23","Gabon",55
"24","Ghana",339.869565217391
"25","Guatemala",398.6
"26","Guinea",715
"27","Guinea-Bissau",-106
"28","Guyana",447
"29","Honduras",439.2
"30","India",167.153846153846
"31","Indonesia",354.142857142857
"32","Jamaica",155
"33","Kenya",344
"34","Lao People's Democratic Republic",107.548387096774
"35","Liberia",377
"36","Lithuania",482
"37","Madagascar",360.666666666667
"38","Malawi",72
"39","Malaysia",301.727272727273
"40","Mali",25
"41","Mauritius",433.5
"42","Mexico",401.8
"43","Mongolia",411
"44","Morocco",-164
"45","Mozambique",205.351351351351
"46","Myanmar",-39.625
"47","Namibia",398.6
"48","Nicaragua",304.647058823529
"49","Nigeria",183.666666666667
"50","Pakistan",65.6666666666666
"51","Panama",266
"52","Papua New Guinea",319.166666666667
"53","Paraguay",271.588235294118
"54","Peru",281.75
"55","Philippines",439.5
"56","Romania",372.409090909091
"57","Russian Federation",415.736842105263
"58","Rwanda",-641
"59","Sao Tome and Principe",681
"60","Senegal",212.928571428571
"61","Serbia",1260
"62","Sierra Leone",174.090909090909
"63","Solomon Islands",509
"64","South Africa",221.6
"65","South Sudan",293.5
"66","Sudan",24.7
"67","Suriname",531
"68","Uganda",408.4
"69","Ukraine",314.894736842105
"70","United Republic of Tanzania",332.2
"71","Uruguay",262.862745098039
"72","Viet Nam",402.296296296296
"73","Zambia",238.8
"74","Zimbabwe",529
